id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,484.045,"Pugeuk",R,27,84,136,1.882,-0.086,0.367,1.484,0.776,1.416,-36.59,22.769,1,0,27.069,-141.069,14.079,0,0,0,0,5,R,"CVPileMaki",170,94,0.397,0,91,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,-37.024,0,"HalF_HearteD",0.161,-16.844,0,"Pring__",-21.259,-48.106,0,"",0,0,0,"bdg06213",20.833,-48.614,0,"mochi_2929",10.245,-62.395,0,"ame_3",44.928,-99.809,0,"alcohol500",-3.87,-113.411,0,"Pizzallaris",-46.215,-100.807,0,0,0,0,0,0,"",0,0,0,0,485.657,,,,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,658.055,"Pugeuk",R,32,74,125,-1.372,1.043,0.071,1.753,-0.839,2.064,-36.59,30.301,2,0,155.694,-106.586,35.018,0,0,1,0,5,R,"CVPileMaki",170,94,0.397,3,84,W,Y,659.163,145,77,101,85,58,145,126,35.904,15.939,0.43,0,0.217,256.307,-38.4,10.919,0.027,-37.422,0,"HalF_HearteD",-0.273,-17.022,0,"Pring__",-22.351,-48.768,0,"Rite_",-15.407,-62.851,0,"bdg06213",20.827,-48.959,0,"mochi_2929",11.574,-62.449,57,"ame_3",43.261,-104.873,0,"alcohol500",-4.522,-118.162,89,"Pizzallaris",-47.2,-100.458,0,665.462,-30.753,-127.285,666.948,7,"alcohol500",-28.306,-125.889,1,0,,670.25,,,259,2
3,1,1,0,0,0,0,0,0,1,0,255,5,255,1,698.75,"Pugeuk",R,26,75,126,3.164,0.802,0.474,1.637,1.275,1.935,-36.59,27.441,1,0,66.742,-186.613,7.211,0,0,0,1,4,R,"SUGUN",190,82.092,0.496,0,84,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013,-37.919,0,"HalF_HearteD",0.145,-16.872,0,"Pring__",-21.309,-47.487,0,"Rite_",-14.928,-62.38,0,"bdg06213",19.18,-46.624,0,"mochi_2929",6.369,-62.488,0,"ame_3",40.337,-98.554,0,"alcohol500",-1.595,-118.19,0,"Pizzallaris",-46.129,-101.169,0,0,0,0,0,0,"",0,0,0,0,700.184,701.498,,,0,0
4,1,1,0,0,1,0,0,0,1,0,255,5,255,2,719.957,"Pugeuk",R,26,82,133,-2.339,0.865,0.23,1.536,0.14,1.609,-36.59,8.865,2,0,-32.836,-200,15.553,0,0,1,1,4,R,"SUGUN",190,82.092,0.496,3,84,W,Y,720.796,255,93,111,42,3,145,101,37.257,-14.49,-0.28,0,0.241,259.62,477.438,223.246,0.169,-37.322,0,"HalF_HearteD",-0.027,-16.938,0,"Pring__",-22.319,-48.781,0,"Rite_",-14.86,-62.393,0,"bdg06213",19.231,-47.215,85,"mochi_2929",7.595,-62.197,0,"ame_3",39.928,-100.179,0,"alcohol500",-3.752,-114.871,88,"Pizzallaris",-45.471,-101.568,0,726.608,10.499,-102.713,727.726,7,"alcohol500",9.783,-107.664,1,0,,731.079,730.407,,17,2
5,1,1,0,0,0,0,0,0,1,1,255,4,5,3,754.642,"Pugeuk",R,29,86,139,-1.411,0.999,0.117,1.631,-0.384,1.955,-36.59,16.078,2,0,-210.938,-200,23.415,0,0,1,2,8,L,"Kr_Luna",166.3,92.256,0.499,3,83,W,Y,755.449,176,123,81,64,27,145,92,27.215,-6.458,-0.29,0,0.042,307.243,-509.943,74.565,0.018,-37.521,0,"HalF_HearteD",-0.259,-16.842,120,"Pring__",-20.634,-46.792,83,"Rite_",-12.629,-64.418,94,"bdg06213",19.739,-42.925,0,"mochi_2929",10.694,-57.767,0,"ame_3",40.975,-93.199,0,"alcohol500",5.106,-113.508,89,"Pizzallaris",-43.271,-100.289,0,760.615,17.032,-96.028,761.65,7,"alcohol500",18.781,-100.733,1,0,768.504,764.933,760.307,765.882,101,2
6,1,1,1,0,0,0,0,1,1,0,8,4,255,4,801.162,"Pugeuk",R,14,87,110,3.85,-1.093,0.521,1.355,0.996,1.233,-36.59,28.257,2,0,420.518,262.547,11.934,0,0,1,3,0,R,"Penguin_iDOL",190,80,0.397,3,82,W,Y,802.113,255,255,164,121,75,145,89,-66.435,-57.594,-0.87,0,0.448,421.509,-250.726,-62.219,0.478,-37.238,0,"HalF_HearteD",0.161,-17.026,0,"Pring__",-19.101,-42.777,0,"Rite_",-13.921,-63.357,0,"bdg06213",19.313,-47.557,0,"mochi_2929",9.504,-62.677,0,"ame_3",40.72,-102.115,0,"alcohol500",-0.589,-115.41,0,"Pizzallaris",-41.411,-96.465,0,802.407,1.083,-20.564,0,0,"",0,0,0,0,,807.174,,,0,3
7,1,1,1,0,0,1,0,1,1,0,8,4,255,5,822.687,"Pugeuk",R,10,60,93,0.781,-0.581,0.307,1.671,0.331,1.914,-36.59,18.959,0,0,0,400,-0.078,0,0,1,3,0,R,"Penguin_iDOL",190,80,0.397,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.609,0,"HalF_HearteD",0.159,-16.75,0,"Pring__",-19.296,-43.373,0,"Rite_",-14.457,-64.642,0,"bdg06213",19.263,-46.149,0,"mochi_2929",10.384,-60.907,0,"ame_3",44.152,-97.131,0,"alcohol500",0.164,-111.064,0,"Pizzallaris",-40.824,-95.205,0,0,0,0,0,0,"",0,0,0,0,824.337,825.84,,,0,0
8,1,1,1,0,0,2,0,1,1,0,8,4,255,6,843.679,"Pugeuk",R,10,67,98,-1.279,-0.433,0.02,1.694,-0.557,1.964,-36.59,17.968,0,0,0,400,11.068,0,0,0,3,0,R,"Penguin_iDOL",190,80,0.397,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.405,-37.587,0,"HalF_HearteD",-0.086,-16.796,0,"Pring__",-19.517,-40.876,0,"Rite_",-14.245,-64.734,0,"bdg06213",19.476,-44.708,0,"mochi_2929",7.534,-59.735,0,"ame_3",44.139,-97.105,0,"alcohol500",-3.848,-112.964,0,"Pizzallaris",-44.816,-102.248,0,0,0,0,0,0,"",0,0,0,0,845.282,846.977,,,0,0
9,1,1,1,0,1,0,1,1,1,0,8,4,255,7,889.517,"Pugeuk",R,29,81,132,-2.925,0.385,-0.028,1.589,-1.06,1.781,-36.59,12.752,1,0,-168.844,-78.86,5.07,0,0,0,4,1,R,"가앤슬_",190,87.22,0.2,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.226,-37.591,0,"HalF_HearteD",-0.228,-16.74,0,"Pring__",-19.483,-43.283,0,"Rite_",-14.723,-64.283,0,"bdg06213",19.522,-45.365,0,"mochi_2929",7.844,-61.523,0,"ame_3",43.11,-98.908,0,"alcohol500",0.789,-116.016,0,"Pizzallaris",-42.094,-96.154,0,0,0,0,0,0,"",0,0,0,0,891.191,892.394,,,0,0
10,1,1,1,0,2,0,1,1,1,0,8,4,255,8,910.848,"Pugeuk",R,6,74,106,-2.069,0.157,-0.276,1.583,-1.477,1.725,-36.59,14.72,1,0,301.812,0,10.35,0,0,0,4,1,R,"가앤슬_",190,87.22,0.2,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.31,-38.457,0,"HalF_HearteD",-0.222,-16.752,0,"Pring__",-18.944,-41.701,0,"Rite_",-14.728,-64.308,0,"bdg06213",19.381,-44.69,0,"mochi_2929",6.628,-62.077,0,"ame_3",42.573,-99.426,0,"alcohol500",0.061,-116.566,0,"Pizzallaris",-42.06,-96.147,0,0,0,0,0,0,"",0,0,0,0,912.684,913.987,,,0,0
11,1,1,1,0,3,0,1,1,1,0,8,4,255,9,931.483,"Pugeuk",R,27,75,126,0.122,1.662,0.188,1.816,-0.058,2.516,-36.59,39.469,4,0,69.171,-141.259,33.974,0,0,1,4,1,R,"가앤슬_",190,87.22,0.2,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-37.167,0,"HalF_HearteD",-0.004,-16.754,0,"Pring__",-19.249,-43.018,0,"Rite_",-15.56,-63.122,0,"bdg06213",19.854,-45.374,0,"mochi_2929",5.121,-62.875,0,"ame_3",41.717,-100.074,0,"alcohol500",1.254,-115.513,0,"Pizzallaris",-42.062,-96.172,0,0,0,0,0,0,"",0,0,0,0,933.115,934.444,,,0,0
12,1,1,1,0,3,1,1,0,1,1,255,8,4,10,1002.186,"Pugeuk",R,29,85,138,-2.48,0.742,0.036,1.656,-0.762,1.997,-36.59,10.258,2,0,-232.301,-92.706,20.304,0,0,1,4,1,R,"가앤슬_",190,87.22,0.2,3,80,W,Y,1003.272,244,76,132,70,23,145,95,91.025,-89.046,0.96,0,0.396,229.657,-110.22,32.761,-0.031,-37.426,0,"HalF_HearteD",-0.222,-16.975,0,"Pring__",-19.596,-44.748,0,"Rite_",-15.545,-63.117,0,"bdg06213",20.29,-48.198,0,"mochi_2929",8.336,-61.836,0,"ame_3",41.22,-100.635,0,"alcohol500",0.614,-116.459,0,"Pizzallaris",-42.6,-97.19,0,1008.865,-72.029,-18.252,0,0,"",0,0,0,0,,1006.392,1005.435,,0,3
13,1,1,1,0,3,2,1,0,1,1,255,8,4,11,1022.444,"Pugeuk",R,26,72,123,-1.657,0.513,0.09,1.58,-0.511,1.75,-36.59,9.089,1,0,-134.166,-185.078,20.082,0,0,0,4,1,R,"가앤슬_",190,87.22,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,-37.555,0,"HalF_HearteD",-0.042,-16.722,0,"Pring__",-20.49,-45.47,0,"Rite_",-13.985,-63.196,0,"bdg06213",20.603,-46.482,0,"mochi_2929",9.495,-61.265,0,"ame_3",43.511,-97.441,0,"alcohol500",0.274,-117.439,0,"Pizzallaris",-42.313,-104.415,0,0,0,0,0,0,"",0,0,0,0,1024.101,1025.714,1024.548,1029.186,0,5
14,1,1,1,0,0,0,1,1,1,1,1,8,4,12,1054.731,"Pugeuk",R,26,73,125,-0.619,0.817,0.157,1.641,-0.198,1.948,-36.59,24.383,0,0,-57.081,-181.51,14.495,0,0,1,5,2,R,"mungjungh",190,94.984,0.2,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.184,0,"HalF_HearteD",-0.222,-16.831,0,"Pring__",-21.401,-46.392,0,"Rite_",-14.82,-63.433,0,"bdg06213",17.354,-46.63,0,"mochi_2929",8.617,-58.97,0,"ame_3",42.946,-98.427,0,"alcohol500",-0.367,-116.587,0,"Pizzallaris",-42.774,-106.227,0,0,0,0,0,0,"",0,0,0,0,1056.254,1058.514,1057.105,,0,0
15,1,1,1,0,0,1,1,1,1,1,1,8,4,13,1076.353,"Pugeuk",R,3,63,94,-2.275,0.375,0.168,1.652,-0.098,1.874,-36.59,32.27,1,0,-396.493,0,3.2,0,0,0,5,2,R,"mungjungh",190,94.984,0.2,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.331,-37.707,0,"HalF_HearteD",-0.407,-16.837,0,"Pring__",-20.01,-44.506,0,"Rite_",-14.854,-63.476,0,"bdg06213",17.605,-46.376,0,"mochi_2929",6.27,-58.551,0,"ame_3",42.953,-98.456,0,"alcohol500",2.412,-116.572,0,"Pizzallaris",-41.112,-105.054,0,0,0,0,0,0,"",0,0,0,0,1078.108,1078.916,1079.276,,0,0
16,1,1,1,0,1,1,1,1,1,1,1,8,4,14,1099.257,"Pugeuk",R,27,88,140,2.759,0.793,0.45,1.654,1.161,1.992,-36.59,26.137,2,0,20.037,-138.13,9.612,0,0,1,5,2,R,"mungjungh",190,94.984,0.2,3,79,W,Y,1100.239,178,39,33,32,15,107,67,13.473,13.35,-0.81,0,0.293,-98.095,583.097,-101.862,0.439,-37.392,0,"HalF_HearteD",0.281,-16.977,0,"Pring__",-19.631,-44.812,80,"Rite_",-14.963,-63.281,99,"bdg06213",17.265,-46.523,0,"mochi_2929",9.532,-58.906,0,"ame_3",42.954,-98.517,0,"alcohol500",1.738,-117.404,0,"Pizzallaris",-43.584,-102.856,0,1102.573,-9.462,-50.654,1103.275,3,"Rite_",-10.731,-53.82,1,0,1105.622,1105.485,1107.247,1105.216,100,2
17,1,1,2,0,0,0,1,1,1,1,2,1,8,15,1134.284,"Pugeuk",R,26,82,133,0.284,-0.236,0.244,1.444,0.206,1.269,-36.59,11.306,0,0,-72.393,-200,20.128,0,0,0,6,6,R,"k@ster",170,80,0.2,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-37.598,0,"HalF_HearteD",0.11,-16.731,0,"Pring__",-19.699,-45.183,0,"Rite_",-13.466,-59.122,0,"bdg06213",17.994,-46.683,0,"mochi_2929",7.766,-56.805,0,"ame_3",38.179,-88.863,0,"alcohol500",6.206,-106.453,0,"Pizzallaris",-41.861,-93.649,0,0,0,0,0,0,"",0,0,0,0,1135.761,1137.049,1136.542,,0,0
18,1,1,2,0,0,1,1,1,1,1,2,1,8,16,1151.224,"Pugeuk",R,29,86,139,1.067,0.501,0.359,1.579,0.738,1.758,-36.59,20.336,2,0,-207.339,-131.228,12.551,0,0,1,6,6,R,"k@ster",170,80,0.2,3,79,W,Y,1152.066,157,57,57,41,29,135,79,113.569,60.561,-0.73,0,0.047,394.121,-369.655,-181.737,0.111,-37.403,0,"HalF_HearteD",0.082,-16.96,0,"Pring__",-19.775,-45.106,0,"Rite_",-13.55,-59.182,0,"bdg06213",18.18,-45.579,0,"mochi_2929",9.375,-57.055,0,"ame_3",38.224,-88.855,0,"alcohol500",4.137,-107.789,0,"Pizzallaris",-43.152,-95.368,0,0,0,0,0,0,"",0,0,0,0,,1157.108,1154.196,,0,3
19,1,1,2,0,0,2,1,1,1,1,2,1,8,17,1173.411,"Pugeuk",R,13,63,93,-0.984,-0.835,0.284,1.607,0.26,1.791,-36.59,22.082,2,0,-303.727,347.767,0,0,0,1,6,6,R,"k@ster",170,80,0.2,3,78,W,Y,1174.461,210,144,33,62,50,120,89,0.21,13.287,0.92,0,0.3,-36.224,313.918,-34.312,-0.151,-37.319,0,"HalF_HearteD",-0.309,-17.031,0,"Pring__",-18.756,-43.793,0,"Rite_",-13.79,-59.112,0,"bdg06213",17.813,-45.935,0,"mochi_2929",9.655,-56.423,0,"ame_3",37.432,-91.802,0,"alcohol500",2.722,-109.601,0,"Pizzallaris",-40.814,-96.685,0,1175.309,-3.544,-34.485,1176.775,3,"Rite_",-8.259,-54.834,1,0,1178.934,1178.53,1178.774,1178.377,100,2
20,1,1,3,0,0,0,1,1,1,1,6,2,1,18,1225.204,"Pugeuk",R,26,79,129,1.437,0.262,0.356,1.517,0.725,1.531,-36.59,19.597,0,0,-85.091,-196.639,14.039,0,0,0,7,3,R,"crani",165,80,0.4,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244,-37.386,0,"HalF_HearteD",0.115,-16.958,0,"Pring__",-18.91,-44.207,0,"Rite_",-15.065,-61.993,0,"bdg06213",18.691,-45.521,0,"mochi_2929",9.76,-57.676,0,"ame_3",41.932,-96.958,0,"alcohol500",2.531,-110.932,0,"Pizzallaris",-42.387,-96.342,0,0,0,0,0,0,"",0,0,0,0,1226.962,1229.378,1228.264,,0,0
21,1,1,3,0,0,1,1,1,1,1,6,2,1,19,1245.97,"Pugeuk",R,29,78,128,1.271,1.331,0.398,1.684,0.92,2.154,-36.59,24.187,4,0,-250,-155.082,12.826,0,0,1,7,3,R,"crani",165,80,0.4,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,-37.611,0,"HalF_HearteD",0.13,-16.897,0,"Pring__",-19.547,-42.799,0,"Rite_",-14.653,-61.659,0,"bdg06213",19.391,-45.064,0,"mochi_2929",6.386,-59.941,0,"ame_3",41.453,-97.154,0,"alcohol500",3.301,-113.621,0,"Pizzallaris",-41.848,-97.225,0,0,0,0,0,0,"",0,0,0,0,1247.705,1249.585,1249.172,,0,0
22,1,1,3,0,0,2,1,1,1,1,6,2,1,20,1268.287,"Pugeuk",R,14,78,104,-0.584,-1.605,-0.104,1.418,-0.943,1.325,-36.59,3.399,1,0,338.675,348.831,28.343,0.007,-18.32,0,7,3,R,"crani",165,80,0.4,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06,-37.991,0,"HalF_HearteD",-0.07,-16.875,0,"Pring__",-18.521,-45.462,0,"Rite_",-14.705,-61.648,0,"bdg06213",19.139,-47.249,0,"mochi_2929",4.872,-59.191,0,"ame_3",41.472,-97.271,0,"alcohol500",-2.231,-111.986,0,"Pizzallaris",-41.848,-98.366,0,0,0,0,0,0,"",0,0,0,0,1270.157,1271.362,1271.942,1279.68,0,0
23,1,1,5,0,1,2,1,0,1,0,255,6,255,21,1309.316,"Pugeuk",R,26,78,129,1.982,2.333,0.379,1.82,0.834,2.662,-36.59,28.051,2,0,11.798,-191.669,13.923,0,0,1,7,3,R,"crani",165,80,0.4,3,32,W,Y,1310.489,110,60,74,58,38,136,90,26.825,51.966,0.92,0,0.308,-373.756,405.001,-237.235,0.317,-37.658,0,"HalF_HearteD",-0.013,-16.705,0,"Pring__",-21.404,-47.797,0,"Rite_",-15.453,-61.371,0,"bdg06213",20.796,-47.051,0,"mochi_2929",10.109,-59.998,0,"ame_3",43.707,-102.944,0,"alcohol500",0.158,-116.307,0,"Pizzallaris",-41.532,-92.933,0,1314.122,-51.76,-54.443,0,0,"",0,0,0,0,,1315.416,,,0,3
24,1,1,5,0,1,2,1,0,1,0,255,6,255,22,1333.569,"Pugeuk",R,3,67,97,-2.33,-0.172,0.171,1.509,-0.091,1.552,-36.59,18.156,2,0,-423.486,7.857,-21.026,0,0,1,7,3,R,"crani",165,80,0.4,3,33,W,Y,1334.788,255,161,44,85,53,133,31,-50.059,55.58,0.92,0,0.581,41.804,-83.652,-2.552,-0.444,-37.045,0,"HalF_HearteD",-0.358,-16.882,0,"Pring__",-18.588,-46.022,85,"Rite_",-14.824,-60.385,0,"bdg06213",20.413,-47.8,0,"mochi_2929",9.62,-59.515,0,"ame_3",45.72,-98.903,0,"alcohol500",-0.127,-115.17,0,"Pizzallaris",-43.462,-99.379,0,1335.261,-1.334,-21.817,1340.233,2,"Pring__",-13.207,-29.302,0,0,,1345.499,1339.901,,4,2
25,1,1,5,0,1,2,1,0,1,0,255,6,255,23,1365.647,"Pugeuk",R,26,80,130,1.896,2.227,0.383,1.803,0.853,2.597,-36.59,28.888,2,0,-25.9,-200,17.758,0,0,1,7,3,R,"crani",165,80,0.4,3,33,W,Y,1366.817,133,55,75,47,36,137,125,110.256,-63.87,0.58,0,0.313,-205.889,413.723,-332.937,0.418,-37.403,0,"HalF_HearteD",0.182,-16.904,0,"Pring__",-20.9,-46.269,0,"Rite_",-14.266,-60.808,0,"bdg06213",19.486,-47.57,0,"mochi_2929",8.534,-61.254,0,"ame_3",42.401,-97.527,0,"alcohol500",0,-112.934,0,"Pizzallaris",-44.34,-101.571,0,0,0,0,0,0,"",0,0,0,0,,1370.179,,,0,3
26,1,1,5,0,1,2,1,0,1,0,255,6,255,24,1387.827,"Pugeuk",R,26,82,134,-0.148,1.234,0.219,1.671,0.088,2.106,-36.59,15.743,1,0,-113.026,-159.715,23.806,0,0,0,7,3,R,"crani",165,80,0.4,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.228,-37.628,0,"HalF_HearteD",0.603,-17.298,0,"Pring__",-21.025,-46.153,0,"Rite_",-14.42,-61.036,0,"bdg06213",19.794,-45.398,0,"mochi_2929",5.724,-60.777,0,"ame_3",42.334,-98.729,0,"alcohol500",-0.84,-114.279,0,"Pizzallaris",-41.728,-100.527,0,0,0,0,0,0,"",0,0,0,0,1389.511,,1390.911,,0,0
27,1,1,5,0,2,2,1,0,0,1,255,255,6,25,1412.621,"Pugeuk",R,7,77,109,-2.282,0.078,-0.253,1.551,-1.404,1.655,-36.59,11.284,1,0,223.501,0,13.961,0,0,0,7,3,R,"crani",165,80,0.4,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,-37.704,0,"HalF_HearteD",-0.081,-16.827,0,"Pring__",-21.162,-46.221,0,"Rite_",-14.903,-61.392,0,"bdg06213",18.828,-44.224,0,"mochi_2929",6.591,-57.298,0,"ame_3",43.961,-98.017,0,"alcohol500",-2.759,-114.271,0,"Pizzallaris",-41.727,-100.523,0,0,0,0,0,0,"",0,0,0,0,1414.448,,1415.012,,0,0
28,1,1,5,0,3,2,1,0,0,1,255,255,6,26,1433.463,"Pugeuk",R,29,81,132,-2.255,1.766,0.044,1.752,-0.725,2.408,-36.59,18.613,4,0,-182.315,-144.64,31.041,0,0,1,7,3,R,"crani",165,80,0.4,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.284,-38.236,0,"HalF_HearteD",-0.038,-16.812,0,"Pring__",-21.407,-46.918,0,"Rite_",-14.878,-61.307,0,"bdg06213",18.91,-46.994,0,"mochi_2929",5.785,-59.075,0,"ame_3",43.328,-98.71,0,"alcohol500",-1.805,-113.226,0,"Pizzallaris",-42.204,-101.421,0,0,0,0,0,0,"",0,0,0,0,1435.157,,1436.176,,0,0
29,1,1,5,0,0,0,2,0,0,1,255,255,6,27,1462.699,"Pugeuk",R,29,82,133,1.105,-0.402,0.326,1.452,0.588,1.289,-36.59,20.836,2,0,-250,-200,17.222,0,0,0,8,7,R,"-KYU-",164.6,80.329,0.401,3,76,W,Y,1463.769,255,126,103,84,30,145,117,29.951,30.28,0.72,0,0.617,110.651,230.82,-46.275,-0.008,-37.412,0,"HalF_HearteD",0.084,-17.009,0,"Pring__",-20.287,-47.207,0,"Rite_",-15.008,-61.521,0,"bdg06213",19.511,-46.698,0,"mochi_2929",9.692,-61.358,0,"ame_3",43.032,-98.896,0,"alcohol500",-1.535,-113.576,0,"Pizzallaris",-41.36,-99.771,92,1469.032,-56.043,-105.191,1469.163,8,"Pizzallaris",-53.898,-102.246,0,0,1526.046,,,,280,1
