id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1644.546,"눈꽃",R,0,93,140,1.335,-0.046,0.242,1.849,0.558,1.531,-36.64,13.585,49,51,0,0,0,12.187,-28.994,2.782,0,0,0,0,8,R,"Pizzallaris",167.4,85.912,0.402,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,-37.368,0,"甲斐野柊太",0.205,-16.816,0,"SFIDA",-20.789,-43.714,0,"柴山犬吉",-17.015,-62.427,0,"Azuner",17.613,-50.453,0,"coder_",7.115,-65.966,0,"YukihiroD",37.467,-99.569,0,"Amellaid",-4.298,-111.583,0,"소솨소솨",-45.103,-92.254,0,0,0,0,0,0,"",0,0,0,0,1642.227,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1660.033,"눈꽃",R,28,87,140,0.788,0.638,0.255,1.938,0.264,1.871,-36.64,23.578,82,18,0,2,0,52.605,-67.664,4.865,0,0,1,0,8,R,"Pizzallaris",167.4,85.912,0.402,3,50,W,Y,1661.151,133,96,73,0,0,94,63,25.788,37.426,0.95,0,0.24,-380.587,-272.117,-39.134,0.02,-37.227,0,"甲斐野柊太",0.09,-16.857,0,"SFIDA",-20.716,-43.659,85,"柴山犬吉",-16.833,-62.728,0,"Azuner",17.657,-50.284,0,"coder_",9.721,-65.355,0,"YukihiroD",39.118,-98.951,0,"Amellaid",-7.206,-115.413,0,"소솨소솨",-45.268,-92.586,0,1660.044,-20.02,-46.728,1660.227,2,"SFIDA",-18.608,-44.544,0,0,,,,,36,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,1687.817,"눈꽃",R,28,93,140,-1.637,-0.465,-0.052,1.689,-0.803,1.24,-36.64,6.325,47,53,0,1,0,76.589,-91.741,7.937,0,0,0,1,3,L,"Pring__",175.7,87.36,0.485,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,-37.514,0,"甲斐野柊太",-0.447,-16.953,0,"SFIDA",-19.65,-45.085,0,"柴山犬吉",-11.875,-65.637,0,"Azuner",25.13,-50.606,0,"coder_",14.564,-68.683,0,"YukihiroD",46.04,-93.345,0,"Amellaid",7.243,-117.869,0,"소솨소솨",-39.617,-95.924,0,0,0,0,0,0,"",0,0,0,0,1685.394,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,1701.722,"눈꽃",R,27,89,140,-1.294,0.29,0.022,1.904,-0.678,1.661,-36.64,11.298,62,38,0,2,0,82.749,-105.095,9.148,0,0,1,1,3,L,"Pring__",175.7,87.36,0.485,3,50,W,Y,1702.56,255,130,145,85,51,145,87,29.515,33.302,-0.75,0,0.393,581.393,25.771,-65.255,0.117,-37.357,0,"甲斐野柊太",-0.242,-16.884,0,"SFIDA",-19.521,-45.087,0,"柴山犬吉",-11.961,-65.486,0,"Azuner",25.074,-50.548,0,"coder_",12.642,-66.107,0,"YukihiroD",45.997,-93.366,0,"Amellaid",7.225,-117.878,0,"소솨소솨",-41.566,-97.036,96,0,0,0,1704.127,8,"소솨소솨",-41.471,-81.342,0,0,,,,,12,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,1729.989,"눈꽃",R,27,89,140,-1.001,0.369,0.042,1.863,-0.569,1.725,-36.64,8.415,57,43,0,2,0,110.794,-124.792,9.458,0,0,1,2,9,L,"-Alta-",190,84,0.479,3,50,W,Y,1730.749,255,68,118,128,8,145,91,92.834,82.659,-0.8,0,0.504,256.586,-80.91,-6.762,0.191,-37.194,0,"甲斐野柊太",-0.192,-16.951,0,"SFIDA",-19.912,-44.366,0,"柴山犬吉",-12.219,-65.342,0,"Azuner",25.987,-51.582,0,"coder_",14.322,-66.581,0,"YukihiroD",41.812,-90.144,0,"Amellaid",12.758,-113.228,0,"소솨소솨",-42.712,-95.164,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,1749.844,"눈꽃",R,26,84,136,-0.513,1.211,0.085,2.006,-0.384,2.222,-36.64,18.951,83,17,0,2,0,111.389,-154.72,10.884,0,0,1,2,9,L,"-Alta-",190,84,0.479,3,57,W,Y,1750.65,255,142,109,89,16,145,111,95.018,84.955,0.89,0,0.613,103.37,207.289,-0.976,0.263,-37.198,0,"甲斐野柊太",-0.221,-16.899,0,"SFIDA",-20.118,-43.698,0,"柴山犬吉",-12.236,-65.372,0,"Azuner",25.97,-51.676,0,"coder_",13.436,-66.475,0,"YukihiroD",43.242,-89.184,0,"Amellaid",12.716,-113.671,0,"소솨소솨",-44.212,-92.595,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,1767.14,"눈꽃",R,27,97,140,-0.624,-0.548,0.015,1.624,-0.39,1.162,-36.64,10.227,51,49,0,0,0,85.688,-115.207,6.1,0,0,0,2,9,L,"-Alta-",190,84,0.479,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.058,-36.315,0,"甲斐野柊太",-0.04,-17.246,0,"SFIDA",-19.798,-42.108,0,"柴山犬吉",-12.213,-65.262,0,"Azuner",26.232,-51.601,0,"coder_",15.41,-68.608,0,"YukihiroD",44.269,-89.05,0,"Amellaid",9.283,-113.852,0,"소솨소솨",-42.831,-85.947,0,0,0,0,0,0,"",0,0,0,0,1764.527,,,,0,0
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,2019.76,"Pugeuk",R,29,86,139,0.436,1.164,0.312,1.692,0.523,2.168,-36.594,21.774,93,7,0,1,0,-250,-91.288,14.146,0,0,0,0,5,R,"coder_",170,80,0.299,0,48,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,-37.764,0,"HalF_HearteD",0.011,-16.853,0,"ame_3",-20.758,-44.472,0,"Pring__",-14.414,-58.81,0,"bdg06213",18.084,-46.888,0,"Rite_",9.498,-63.72,0,"alcohol500",33.915,-103.365,0,"紅さかな",-8.634,-116.745,0,"Pizzallaris",-44.093,-99.366,0,0,0,0,0,0,"",0,0,0,0,2017.194,,,,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,2036.648,"Pugeuk",R,29,83,134,1.916,-0.508,0.438,1.42,1.107,1.182,-36.594,27.598,52,48,0,1,0,-199.773,-135.599,15.994,0,0,0,0,5,R,"coder_",170,80,0.299,0,48,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448,-37.466,0,"HalF_HearteD",0.025,-16.92,0,"ame_3",-20.769,-44.511,0,"Pring__",-14.371,-58.695,0,"bdg06213",18.112,-47.511,0,"Rite_",10.052,-64.012,0,"alcohol500",35.642,-102.911,0,"紅さかな",-7.43,-116.757,0,"Pizzallaris",-44.093,-99.362,0,0,0,0,0,0,"",0,0,0,0,2034.094,,,,0,0
10,1,0,0,0,2,0,0,0,0,0,255,255,255,2,2054.539,"Pugeuk",R,29,83,135,0.286,0.725,0.276,1.616,0.353,1.894,-36.594,20.772,55,45,0,0,0,-167.153,-116.485,5.428,0,0,1,0,5,R,"coder_",170,80,0.299,0,48,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-37.687,0,"HalF_HearteD",-0.026,-16.949,0,"ame_3",-20.869,-44.553,0,"Pring__",-14.403,-58.72,0,"bdg06213",18.144,-47.563,0,"Rite_",10.061,-63.986,0,"alcohol500",34.122,-105.164,0,"紅さかな",-7.458,-116.725,0,"Pizzallaris",-44.09,-99.36,0,0,0,0,0,0,"",0,0,0,0,2052.01,,,,0,0
