id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,2522.58,"siesta_aves",R,34,84,137,0.288,0.797,0.313,1.121,0.043,2.097,-36.339,11.482,3,66,31,0,0,53.943,28.719,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371,-37.906,0,"白霜らいふ",0.094,-17.896,0,"ʚEveɞ",-21.541,-47.492,0,"Ѕeyeon",-16.101,-61.851,0,"인생최패망자",18.714,-48.936,0,"ibqrqki",9.666,-63.705,0,"カズティー｢KAZU-TEA｣",47.969,-89.389,0,"IbikiKai_JP",-2.764,-110.446,0,"NABIMan",-45.521,-85.689,0,0,0,0,0,0,"",0,0,0,0,2523.428,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,2536.176,"siesta_aves",R,0,87,140,-2.168,0.753,0.284,1.064,-0.954,2.046,-36.339,24.907,2,58,40,1,0,0,0,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,-38.112,0,"白霜らいふ",0.057,-17.934,0,"ʚEveɞ",-21.841,-48.741,0,"Ѕeyeon",-16.113,-61.893,0,"인생최패망자",19.1,-48.908,0,"ibqrqki",9.725,-64.096,0,"カズティー｢KAZU-TEA｣",47.984,-89.4,0,"IbikiKai_JP",-3.045,-108.806,0,"NABIMan",-43.202,-87.267,0,0,0,0,0,0,"",0,0,0,0,2537.05,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,2548.741,"siesta_aves",R,4,79,124,-1.782,0.323,0.407,0.995,-0.472,1.804,-36.339,19.554,2,55,43,1,0,-206.996,0,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,-37.973,0,"白霜らいふ",-0.101,-18.044,0,"ʚEveɞ",-21.625,-49.059,0,"Ѕeyeon",-16.118,-61.915,0,"인생최패망자",18.7,-48.014,0,"ibqrqki",8.857,-63.939,0,"カズティー｢KAZU-TEA｣",47.976,-89.39,0,"IbikiKai_JP",-3.114,-108.864,0,"NABIMan",-44.068,-88.256,0,0,0,0,0,0,"",0,0,0,0,2549.728,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,2563.478,"siesta_aves",R,35,83,134,0.223,0.779,0.394,1.089,0.121,2.238,-36.339,11.698,5,56,39,0,0,-26.365,163.782,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,-38.073,0,"白霜らいふ",0.107,-17.978,0,"ʚEveɞ",-21.652,-49.203,0,"Ѕeyeon",-16.117,-61.869,0,"인생최패망자",17.533,-46.781,0,"ibqrqki",9.279,-64.537,0,"カズティー｢KAZU-TEA｣",47.98,-89.381,0,"IbikiKai_JP",-3.123,-108.839,0,"NABIMan",-43.791,-88.623,0,0,0,0,0,0,"",0,0,0,0,2564.428,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,2580.932,"siesta_aves",R,36,67,120,1.195,2.178,0.442,1.283,0.431,2.982,-36.339,14.847,0,61,39,1,0,47.654,121.325,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,-38.088,0,"白霜らいふ",0.067,-17.867,0,"ʚEveɞ",-21.968,-49.322,0,"Ѕeyeon",-16.12,-61.919,0,"인생최패망자",19.037,-47.363,0,"ibqrqki",9.297,-64.831,0,"カズティー｢KAZU-TEA｣",48.043,-87.362,0,"IbikiKai_JP",-3.124,-108.821,0,"NABIMan",-43.271,-88.273,0,0,0,0,0,0,"",0,0,0,0,2581.917,,,,0,0
6,1,1,0,0,3,2,0,0,0,0,255,255,255,5,2595.004,"siesta_aves",R,37,81,118,0.341,-0.257,0.446,0.896,0.097,1.597,-36.339,21.537,2,9,89,2,0,22.847,82.01,0,0,0,1,0,8,R,"Pizzallaris",167.3,85.912,0.347,3,61,W,Y,2596.143,161,112,49,50,0,134,84,58.804,0.045,-0.42,0,0.223,310.091,-154.271,306.836,0.415,-37.867,0,"白霜らいふ",0.08,-18.119,0,"ʚEveɞ",-21.95,-49.296,0,"Ѕeyeon",-16.065,-61.823,0,"인생최패망자",17.455,-46.808,0,"ibqrqki",9.371,-64.703,90,"カズティー｢KAZU-TEA｣",48.031,-87.352,0,"IbikiKai_JP",-3.104,-108.819,0,"NABIMan",-46.178,-88.574,0,2601.517,-0.686,-63.501,2601.672,5,"ibqrqki",-0.768,-62.26,0,0,,,,,256,1
7,1,1,0,0,0,0,1,0,0,0,255,255,255,6,2780.297,"siesta_aves",R,33,82,133,1.683,-0.686,0.523,0.901,0.575,1.309,-36.339,49.458,4,19,78,1,0,118.893,75.691,0,0,0,0,1,6,L,"alcohol500",172.2,90.002,0.398,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,-38.164,0,"白霜らいふ",0.017,-18.004,0,"ʚEveɞ",-21.064,-50.382,0,"Ѕeyeon",-6.968,-65.602,0,"인생최패망자",20.458,-46.061,0,"ibqrqki",13.826,-63.53,0,"カズティー｢KAZU-TEA｣",48.66,-89.433,0,"IbikiKai_JP",3.66,-105.977,0,"NABIMan",-46.116,-95.856,0,0,0,0,0,0,"",0,0,0,0,2781.083,,,,0,0
8,1,1,0,0,1,0,1,0,0,0,255,255,255,7,2794.123,"siesta_aves",R,3,82,126,-0.396,1.194,0.495,1.146,0.239,2.306,-36.339,24.857,0,78,22,4,0,-284.25,0,0,0,0,1,1,6,L,"alcohol500",172.2,90.002,0.398,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-38.071,0,"白霜らいふ",0.004,-18.036,0,"ʚEveɞ",-21.167,-50.335,0,"Ѕeyeon",-6.975,-65.638,0,"인생최패망자",20.867,-46.631,0,"ibqrqki",13.795,-63.478,0,"カズティー｢KAZU-TEA｣",48.053,-89.395,0,"IbikiKai_JP",3.801,-106.105,0,"NABIMan",-46.023,-95.856,0,0,0,0,0,0,"",0,0,0,0,2794.861,,,,0,0
9,1,1,0,0,1,1,1,0,0,0,255,255,255,8,2810.998,"siesta_aves",R,33,81,132,-2.174,-0.162,0.233,0.964,-1.103,1.602,-36.339,18.246,2,48,50,1,0,104.512,60.258,0,0,0,0,1,6,L,"alcohol500",172.2,90.002,0.398,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-38.203,0,"白霜らいふ",-0.049,-18.105,0,"ʚEveɞ",-21.031,-50.188,0,"Ѕeyeon",-7.203,-66.272,0,"인생최패망자",20.632,-46.31,0,"ibqrqki",13.783,-63.447,0,"カズティー｢KAZU-TEA｣",48.062,-89.384,0,"IbikiKai_JP",3.714,-106.082,0,"NABIMan",-45.436,-97.071,0,0,0,0,0,0,"",0,0,0,0,2811.728,,,,0,0
10,1,1,0,0,2,1,1,0,0,0,255,255,255,9,2827.781,"siesta_aves",R,15,70,101,0.852,0.52,0.427,0.789,0.358,1.467,-36.339,41.738,4,10,87,0,0,0,-389.28,0,0,0,0,1,6,L,"alcohol500",172.2,90.002,0.398,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,-37.704,0,"白霜らいふ",0.091,-17.992,0,"ʚEveɞ",-21.047,-50.177,0,"Ѕeyeon",-7.182,-65.791,0,"인생최패망자",20.266,-46.138,0,"ibqrqki",13.465,-63.449,0,"カズティー｢KAZU-TEA｣",48.06,-89.398,0,"IbikiKai_JP",3.763,-106.1,0,"NABIMan",-45.166,-96.884,0,0,0,0,0,0,"",0,0,0,0,2828.694,,,,0,0
