id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,683.658,"あおいぬ",R,32,81,132,0.96,1.399,0.823,1.713,0.107,2.227,-36.785,58.758,1,0,191.187,-135.764,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-37.697,0,"IbikiKai_JP",-0.027,-17.516,0,"ʚEveɞ",-22.362,-49.789,0,"白霜らいふ",-12.793,-62.953,0,"鳴海_narumi",20.697,-45.865,0,"Ѕeyeon",12.174,-64.103,0,"sano jpn",34.919,-103.485,0,"siesta_aves",-9.997,-118.674,0,"ibqrqki",-45.653,-97.933,0,0,0,0,0,0,"",0,0,0,0,680.739,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,699.179,"あおいぬ",R,13,82,120,-2.842,-1.535,0.672,1.427,-0.594,1.175,-36.785,41.018,4,0,-390.434,312.348,0,0,0,1,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,-37.064,0,"IbikiKai_JP",-0.258,-17.459,0,"ʚEveɞ",-22.429,-49.834,0,"白霜らいふ",-12.788,-62.955,0,"鳴海_narumi",20.703,-45.849,0,"Ѕeyeon",12.16,-64.111,0,"sano jpn",34.861,-103.512,0,"siesta_aves",-9.977,-117.13,0,"ibqrqki",-45.912,-97.95,0,0,0,0,0,0,"",0,0,0,0,696.272,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,716.439,"あおいぬ",R,32,86,139,0.491,0.475,0.767,1.563,-0.156,1.675,-36.785,35.002,0,0,246.244,-187.941,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,-37.448,0,"IbikiKai_JP",-0.035,-17.629,0,"ʚEveɞ",-22.362,-50.071,0,"白霜らいふ",-12.222,-63.322,0,"鳴海_narumi",20.437,-45.896,0,"Ѕeyeon",12.15,-64.084,0,"sano jpn",33.497,-101.742,0,"siesta_aves",-9.999,-117.105,0,"ibqrqki",-45.904,-97.155,0,0,0,0,0,0,"",0,0,0,0,713.461,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,752.434,"あおいぬ",R,13,90,126,-1.908,-1.101,0.751,1.485,-0.229,1.387,-36.785,51.818,2,0,-390.434,312.348,0,0,0,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,3,55,W,Y,753.536,255,76,100,111,38,145,88,-14.131,15.399,0.96,0,0.153,535.883,-204.69,-175.874,0.162,-36.996,0,"IbikiKai_JP",-0.253,-17.677,0,"ʚEveɞ",-22.464,-50.285,81,"白霜らいふ",-12.244,-63.454,103,"鳴海_narumi",20.109,-46.028,0,"Ѕeyeon",11.477,-64.079,0,"sano jpn",33.592,-101.869,0,"siesta_aves",-10.634,-116.952,0,"ibqrqki",-45.457,-97.801,0,749.305,-0.885,-22.093,751.572,3,"白霜らいふ",-9.278,-55.778,0,0,,,,,44,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,778.801,"あおいぬ",R,32,87,140,-1.396,0.346,0.62,1.554,-0.839,1.644,-36.785,41.855,0,0,173.336,-163.981,0,0,0,0,1,6,L,"alcohol500",173.5,87.002,0.405,0,36,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-37.719,0,"IbikiKai_JP",-0.18,-17.61,0,"ʚEveɞ",-22.213,-50.465,0,"白霜らいふ",-8.944,-65.504,0,"鳴海_narumi",20.865,-46.783,0,"Ѕeyeon",15.769,-61.459,0,"sano jpn",51.848,-99.466,0,"siesta_aves",-10.765,-118.77,0,"ibqrqki",-40.676,-97.05,0,0,0,0,0,0,"",0,0,0,0,775.717,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,794.762,"あおいぬ",R,32,92,140,-2.745,0.209,0.476,1.529,-1.506,1.554,-36.785,27.393,2,0,212.031,-176.063,0,0,0,1,1,6,L,"alcohol500",173.5,87.002,0.405,3,36,W,Y,795.715,209,52,94,99,27,145,84,97.894,-69.024,-0.83,0,0.221,80.637,202.161,-74.724,0.042,-37.359,0,"IbikiKai_JP",-0.262,-17.604,0,"ʚEveɞ",-22.089,-50.58,0,"白霜らいふ",-8.897,-65.524,0,"鳴海_narumi",20.513,-45.562,0,"Ѕeyeon",15.747,-61.461,0,"sano jpn",51.139,-97.984,0,"siesta_aves",-10.629,-118.743,0,"ibqrqki",-41.062,-99.578,0,797.417,-30.773,-5.404,0,0,"",0,0,0,0,,,,,4,3
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,814.63,"あおいぬ",R,3,79,120,-0.557,0.529,0.868,1.66,0.339,1.904,-36.785,71.032,0,0,-358.692,0,0,0,0,0,1,6,L,"alcohol500",173.5,87.002,0.405,0,36,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112,-37.98,0,"IbikiKai_JP",-0.086,-17.602,0,"ʚEveɞ",-23.023,-50.586,0,"白霜らいふ",-8.778,-65.085,0,"鳴海_narumi",20.601,-46.003,0,"Ѕeyeon",16.22,-61.441,0,"sano jpn",50.818,-98.943,0,"siesta_aves",-7.087,-119.409,0,"ibqrqki",-41.384,-97.525,0,0,0,0,0,0,"",0,0,0,0,811.661,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,838.6,"あおいぬ",R,32,86,139,-1.861,0.659,0.562,1.617,-1.107,1.848,-36.785,33.588,1,0,226.188,-200,0,0,0,0,2,2,L,"Pring__",190,93.36,0.485,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084,-36.942,0,"IbikiKai_JP",-0.205,-17.456,0,"ʚEveɞ",-23.087,-50.989,0,"白霜らいふ",-9.22,-64.945,0,"鳴海_narumi",21.5,-47.105,0,"Ѕeyeon",16.204,-61.345,0,"sano jpn",56.793,-109.465,0,"siesta_aves",-3.83,-125.647,0,"ibqrqki",-42.3,-105.995,0,0,0,0,0,0,"",0,0,0,0,835.561,,,,0,0
9,1,1,0,0,1,0,2,0,0,0,255,255,255,8,854.533,"あおいぬ",R,13,87,126,-0.447,-0.416,0.886,1.571,0.402,1.697,-36.785,54.369,2,0,-390.434,312.348,0,0,0,0,2,2,L,"Pring__",190,93.36,0.485,3,64,W,Y,855.453,230,113,79,178,21,145,129,2.876,29.636,0.27,0,0.421,-297.533,-441.658,41.956,0.041,-36.925,0,"IbikiKai_JP",-0.159,-17.597,0,"ʚEveɞ",-23.196,-51.775,0,"白霜らいふ",-13.204,-63.825,0,"鳴海_narumi",21.44,-46.523,0,"Ѕeyeon",16.239,-61.465,0,"sano jpn",56.924,-109.278,0,"siesta_aves",-2.786,-125.687,0,"ibqrqki",-42.176,-106.372,98,851.872,-13.813,-46.888,854.628,8,"ibqrqki",-35.626,-94.138,1,0,,,,,268,2
10,1,1,0,0,0,0,2,1,0,0,2,255,255,9,889.735,"あおいぬ",R,26,86,139,1.249,1.031,0.884,1.697,0.39,2.106,-36.785,56.337,1,0,103.244,-172.453,0,0,0,0,3,9,R,"Pugeuk",190,86,0.373,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162,-38.13,0,"IbikiKai_JP",-0.131,-17.227,0,"ʚEveɞ",-23.007,-50.64,0,"白霜らいふ",-11.342,-63.98,0,"鳴海_narumi",20.697,-46.035,0,"Ѕeyeon",10.83,-63.387,0,"sano jpn",36.421,-103.818,0,"siesta_aves",-0.224,-122.354,0,"ibqrqki",-49.504,-101.782,0,0,0,0,0,0,"",0,0,0,0,886.706,,,,0,0
