id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,366.79,"Riyaj",R,26,89,140,-2.001,-2.847,0.006,1.46,-0.903,-0.052,-36.789,16.813,1,0,25.555,-153.933,0.22,-0.383,-19.808,0,0,8,R,"Pizzallaris",167.3,85.912,0.347,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-37.815,0,"encounter v",-0.151,-17.51,0,"쟈가리코",-21.139,-45.974,0,"DoYaGee",-19.268,-60.536,0,"わだ、、",18.747,-47.077,0,"shimenawa",12.145,-65.498,0,"_송글_",42.815,-99.296,0,"muyang_",-3.632,-100.634,0,"ByeolBam",-43.993,-89.868,0,0,0,0,0,0,"",0,0,0,0,368.169,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,380.638,"Riyaj",R,26,88,140,1.013,0.697,0.271,1.955,0.332,1.769,-36.789,32.882,2,0,72.509,-200,-7.015,0,0,1,0,8,R,"Pizzallaris",167.3,85.912,0.347,3,80,W,Y,381.724,110,218,119,97,75,137,123,22.957,-17.382,0.49,0.19,0.316,-46.804,-50.971,-1.865,0.133,-37.478,0,"encounter v",-0.028,-17.521,0,"쟈가리코",-20.575,-46.058,0,"DoYaGee",-18.983,-60.971,0,"わだ、、",18.593,-46.812,0,"shimenawa",11.23,-65.753,49,"_송글_",42.82,-99.249,89,"muyang_",-2.417,-106.479,0,"ByeolBam",-45.135,-91.053,0,386.38,33.213,-120.194,388.491,6,"_송글_",30.854,-121.053,1,0,,391.369,,,193,2
3,1,1,0,0,0,0,0,0,1,0,255,8,255,2,417.466,"Riyaj",R,10,71,113,0.668,-1.049,0.261,1.882,0.283,1.502,-36.789,31.643,0,0,0,400,-0.297,0,0,0,1,5,R,"Pugeuk",170.1,84,0.301,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-37.613,0,"encounter v",0.839,-18.923,0,"쟈가리코",-21.642,-46.685,0,"DoYaGee",-17.271,-60.748,0,"わだ、、",19.264,-40.247,0,"shimenawa",4.559,-60.532,0,"_송글_",39.176,-96.396,0,"muyang_",-3.832,-107.425,0,"ByeolBam",-47.025,-93.409,0,0,0,0,0,0,"",0,0,0,0,419.002,,419.196,,0,0
4,1,1,0,0,0,1,0,0,0,1,255,255,8,3,447.664,"Riyaj",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,R,"Pugeuk",170.1,84,0.301,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,449.291,,,,0,0
5,1,1,0,0,1,1,0,0,0,1,255,255,8,4,467.731,"Riyaj",R,27,78,128,1.268,0.486,0.306,1.94,0.492,1.713,-36.789,38.675,2,0,33.188,-132.88,-9.191,0,0,1,1,5,R,"Pugeuk",170.1,84,0.301,3,80,W,Y,468.765,205,45,74,58,17,142,96,22.362,-4.528,-0.06,0,0.636,519.052,260.4,148.352,0.044,-37.437,120,"encounter v",-0.02,-17.454,108,"쟈가리코",-21.15,-46.508,0,"DoYaGee",-18.12,-61.243,0,"わだ、、",16.567,-44.617,0,"shimenawa",13.705,-64.692,0,"_송글_",41.597,-99.09,0,"muyang_",-5.185,-108.546,93,"ByeolBam",-46.136,-93.462,0,0,0,0,474.125,7,"muyang_",2.077,-105.032,0,0,479.68,,470.95,479.328,336,1
6,1,1,1,0,0,0,1,0,0,0,255,255,255,5,504.179,"Riyaj",R,10,71,113,-0.4,-2.529,0.161,1.506,-0.18,0.3,-36.789,22.355,1,0,0,400,-7.186,-0.061,-21.395,0,2,0,L,"Pring__",190,93.36,0.485,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.401,0,"encounter v",0.064,-17.316,0,"쟈가리코",-21.842,-47.954,0,"DoYaGee",-12.608,-64.729,0,"わだ、、",21.587,-48.999,0,"shimenawa",14.052,-65.897,0,"_송글_",42.324,-95.344,0,"muyang_",-5.161,-110.52,0,"ByeolBam",-43.016,-91.158,0,0,0,0,0,0,"",0,0,0,0,505.625,,,,0,0
7,1,1,1,0,1,0,1,0,0,0,255,255,255,6,518.452,"Riyaj",R,27,87,140,-1.313,-0.572,0.063,1.76,-0.637,1.123,-36.789,17.893,2,0,45.028,-133.393,-8.611,0,0,0,2,0,L,"Pring__",190,93.36,0.485,3,81,W,Y,519.326,222,145,122,93,57,145,99,12.719,18.252,-0.41,0,0.523,146.2,-447.309,72.644,-0.267,-37.363,0,"encounter v",0.022,-17.463,0,"쟈가리코",-21.917,-47.047,0,"DoYaGee",-13.207,-64.359,0,"わだ、、",21.394,-49.001,0,"shimenawa",12.93,-65.312,50,"_송글_",42.381,-95.233,0,"muyang_",9.597,-120.923,0,"ByeolBam",-41.738,-94.937,119,522.047,-15.682,-81.396,527.269,8,"ByeolBam",-24.428,-116.52,1,0,,529.609,,,73,2
8,1,1,1,0,0,0,1,0,1,0,255,0,255,7,551.557,"Riyaj",R,26,90,140,-0.567,0.674,0.126,1.983,-0.343,1.844,-36.789,28.15,2,0,75.455,-200,-6.336,0,0,1,3,2,L,"-Alta-",190,84,0.479,3,81,W,Y,552.369,223,116,144,84,39,145,108,103.955,64.212,0.03,0,0.436,106.497,-188.728,93.397,0.122,-37.434,0,"encounter v",-0.152,-17.438,0,"쟈가리코",-21.541,-47.258,0,"DoYaGee",-13.689,-64.717,0,"わだ、、",19.247,-46.933,0,"shimenawa",12.002,-67.234,0,"_송글_",47.379,-99.783,0,"muyang_",-2.663,-107.325,0,"ByeolBam",-44.626,-92.957,0,0,0,0,0,0,"",0,0,0,0,,554.731,,,65,3
9,1,1,1,0,0,1,1,0,1,0,255,0,255,8,599.481,"Riyaj",R,26,93,140,-0.542,-1.19,0.134,1.626,-0.309,0.679,-36.789,20.177,2,0,48.855,-199.716,-7.256,0,0,1,3,2,L,"-Alta-",190,84,0.479,3,62,W,Y,600.311,255,202,173,127,19,145,130,27.865,-10.89,0.47,0,0.598,357.769,-329.57,-351.262,-0.057,-37.391,0,"encounter v",-0.034,-17.43,0,"쟈가리코",-21.918,-47.51,0,"DoYaGee",-15.446,-62.621,0,"わだ、、",20.018,-47.299,0,"shimenawa",11.08,-68.441,0,"_송글_",46.541,-99.044,0,"muyang_",5.106,-107.892,0,"ByeolBam",-44.598,-96.204,0,605.814,33.863,-134.256,0,0,"",0,0,1,0,,611.004,605.551,610.408,64,4
10,1,1,3,0,0,0,1,0,0,0,255,255,255,9,642.805,"Riyaj",R,26,91,140,0.955,0.168,0.272,1.888,0.335,1.528,-36.789,32.094,2,0,59.836,-200,-12.438,0,0,1,4,4,R,"bdg06213",190,80,0.502,3,82,W,Y,643.882,233,122,89,107,55,145,101,62.543,52.127,-0.31,0,0.288,73.367,-347.683,68.093,-0.102,-37.359,0,"encounter v",0.013,-17.478,0,"쟈가리코",-22.386,-48.115,0,"DoYaGee",-16.935,-61.583,0,"わだ、、",19.914,-47.577,0,"shimenawa",11.447,-65.631,0,"_송글_",40.535,-92.3,0,"muyang_",1.047,-113.871,0,"ByeolBam",-45.483,-94.451,108,649.814,-52.355,-68.462,650.458,8,"ByeolBam",-53.502,-69.777,0,0,,,,,72,2
