id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,412.987,"-Alta-",L,33,77,128,1.401,-0.104,-0.123,1.781,0.814,1.414,-36.693,23.289,54,46,0,0,0,-129.775,-112.767,-12.5,0,0,0,0,5,L,"shimenawa",175.1,94.778,0.295,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,-37.569,0,"HalF_HearteD",0.205,-16.739,0,"Pring__",-21.265,-47.466,0,"mochi_2929",-11.487,-62.93,0,"magimari",19.163,-46.39,0,"Rite_",17.044,-61.414,0,"alcohol500",46.304,-96.078,0,"紅さかな",13.283,-121.12,0,"Pizzallaris",-42.246,-99.472,0,0,0,0,0,0,"",0,0,0,0,414.5,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,430.742,"-Alta-",L,13,80,117,0.983,-0.634,-0.344,1.851,-0.214,1.661,-36.693,42.147,61,39,0,0,0,377.112,328.309,-15.695,0,0,1,0,5,L,"shimenawa",175.1,94.778,0.295,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,-37.521,0,"HalF_HearteD",0.244,-16.697,0,"Pring__",-21.298,-47.526,0,"mochi_2929",-11.581,-63.098,0,"magimari",19.1,-46.031,0,"Rite_",16.533,-59.647,0,"alcohol500",46.299,-97.093,0,"紅さかな",12.759,-121.109,0,"Pizzallaris",-33.823,-107.706,0,0,0,0,0,0,"",0,0,0,0,432.322,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,447.023,"-Alta-",L,3,92,131,4.034,-1.712,-0.001,1.597,1.38,0.766,-36.693,9.617,33,67,0,1,0,251.124,143.231,-4.822,0.925,-17.824,0,0,5,L,"shimenawa",175.1,94.778,0.295,0,105,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,-36.846,0,"HalF_HearteD",0.266,-16.722,0,"Pring__",-21.277,-47.503,0,"mochi_2929",-11.617,-63.023,0,"magimari",19.038,-46.048,0,"Rite_",15.801,-59.192,0,"alcohol500",46.631,-97.093,0,"紅さかな",13.227,-121.057,0,"Pizzallaris",-33.814,-107.694,0,0,0,0,0,0,"",0,0,0,0,448.556,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,462.828,"-Alta-",L,27,85,138,-0.767,0.824,-0.346,1.936,-0.226,1.958,-36.693,35.019,87,13,0,2,0,-69.249,-116.304,-2.039,0,0,1,0,5,L,"shimenawa",175.1,94.778,0.295,3,105,W,Y,463.892,135,86,74,61,0,138,82,58.665,-13.02,-0.79,0,0.312,126.935,31.567,-37.419,0.252,-36.454,0,"HalF_HearteD",-0.169,-16.749,0,"Pring__",-21.182,-47.422,0,"mochi_2929",-11.622,-63.033,0,"magimari",18.764,-46.099,0,"Rite_",15.698,-59.304,99,"alcohol500",46.583,-97.548,0,"紅さかな",12.924,-121.036,0,"Pizzallaris",-33.814,-107.685,0,469.622,10.21,-63.656,469.733,5,"Rite_",9.934,-62.383,0,0,,,,,128,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,521.308,"-Alta-",L,27,86,139,-1.384,0.532,-0.404,1.907,-0.493,1.842,-36.693,34.904,73,27,0,2,0,-80.705,-104.911,-7.13,0,0,1,1,9,L,"わだ、、",190,85,0.53,3,68,W,Y,522.381,255,105,104,107,28,145,130,27.422,4.205,0.34,0,0.404,-3.362,277.901,-152.881,0.111,-37.577,0,"HalF_HearteD",-0.221,-16.759,0,"Pring__",-20.39,-46.82,0,"mochi_2929",-11.32,-62.37,0,"magimari",19.028,-46.019,0,"Rite_",16.314,-61.412,56,"alcohol500",44.514,-100.845,0,"紅さかな",10.612,-121.76,0,"Pizzallaris",-39.569,-109.866,104,527.589,-15.661,-132.953,529.333,8,"Pizzallaris",-17.948,-127.473,1,0,,532.546,,,129,2
6,1,1,0,0,0,0,1,0,1,0,255,9,255,5,557.641,"-Alta-",L,28,90,140,4.281,-2.055,0.086,1.463,1.784,0.402,-36.693,13.527,50,50,0,3,0,-18.06,-55.137,-3.158,0.366,-20.784,0,2,4,R,"쟈가리코",190,82,0.501,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.577,0,"HalF_HearteD",0.365,-16.701,0,"Pring__",-19.616,-43.77,0,"mochi_2929",-11.893,-61.41,0,"magimari",19.318,-46.524,0,"Rite_",8.702,-63.813,0,"alcohol500",31.65,-110.03,0,"紅さかな",-13.116,-121.481,0,"Pizzallaris",-43.82,-89.055,0,0,0,0,0,0,"",0,0,0,0,562.511,561.072,,,0,6
7,1,1,0,0,0,0,1,1,1,0,4,9,255,6,603.625,"-Alta-",L,3,74,114,-1.3,-0.033,-0.6,1.843,-1.263,1.586,-36.693,61.298,69,31,0,0,0,464.369,0,-1.85,0,0,0,3,2,R,"ByeolBam",190,92,0.5,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.168,0,"HalF_HearteD",-0.225,-16.666,0,"Pring__",-20.566,-43.694,0,"mochi_2929",-13.082,-61.603,0,"magimari",18.802,-46.231,0,"Rite_",7.531,-64.575,0,"alcohol500",42.914,-97.263,0,"紅さかな",0.18,-119.618,0,"Pizzallaris",-40.914,-99.1,0,0,0,0,0,0,"",0,0,0,0,605.111,607.244,,,0,0
8,1,1,0,0,0,1,1,1,1,0,4,9,255,7,622.775,"-Alta-",L,26,89,140,-1.768,-0.668,-0.414,1.651,-0.541,1.01,-36.693,39.018,60,40,0,2,0,-157.58,-200,0.957,0,0,1,3,2,R,"ByeolBam",190,92,0.5,3,67,W,Y,623.701,208,121,135,82,43,145,93,111.659,-77.33,0.97,0,0.18,102.425,580.041,-96.657,0.261,-36.595,0,"HalF_HearteD",-0.215,-16.886,0,"Pring__",-19.952,-45.284,0,"mochi_2929",-13.287,-61.636,0,"magimari",18.269,-46.123,0,"Rite_",11.228,-64.095,0,"alcohol500",42.858,-98.361,0,"紅さかな",0.412,-119.778,0,"Pizzallaris",-42.867,-97.47,0,0,0,0,0,0,"",0,0,0,0,,627.105,,,0,3
9,1,1,0,0,0,2,1,1,1,0,4,9,255,8,642.796,"-Alta-",L,33,85,138,-2.841,-0.071,-0.52,1.783,-1.034,1.441,-36.693,40.803,83,17,0,1,0,-134.727,-131.502,-6,0,0,0,3,2,R,"ByeolBam",190,92,0.5,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,-37.075,0,"HalF_HearteD",-0.331,-16.693,0,"Pring__",-20.255,-43.635,0,"mochi_2929",-12.765,-61.74,0,"magimari",19.087,-43.623,0,"Rite_",7.924,-62.94,0,"alcohol500",44.163,-96.33,0,"紅さかな",0.328,-118.567,0,"Pizzallaris",-41.88,-96.735,0,0,0,0,0,0,"",0,0,0,0,644.111,646.259,,,0,0
10,1,1,0,0,0,0,2,1,1,0,4,9,255,9,677.685,"-Alta-",L,3,76,107,0.54,0.49,-0.389,1.972,-0.283,1.919,-36.693,45.863,80,20,0,2,0,318.174,0,0.143,0,0,1,4,1,R,"encounter v",190,83,0.527,3,39,W,Y,678.877,234,117,104,87,52,145,91,-82.785,38.276,-0.76,0,0.096,302.333,157.474,61.433,0.383,-37.024,120,"HalF_HearteD",0.181,-16.801,0,"Pring__",-19.643,-43.957,0,"mochi_2929",-12.479,-61.425,0,"magimari",18.463,-46.342,0,"Rite_",10.875,-64.002,0,"alcohol500",42.133,-104.024,0,"紅さかな",-0.964,-118.971,0,"Pizzallaris",-45.112,-101.139,0,678.978,-0.039,-19.956,682.255,0,"-Alta-",-5.908,-27.519,0,0,713.822,684.045,682.846,,20,2
