id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,317.028,"SFIDA",L,34,89,140,1.208,0.111,-0.129,1.794,0.623,1.609,-36.954,10.397,50,50,0,0,0,-74.154,-44.499,0,0,0,0,0,8,R,"Pizzallaris",170,88,0.383,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,-37.962,0,"559：広告",0.072,-17.723,0,"甲斐野柊太",-21.111,-48.389,0,"柴山犬吉",-16.269,-63.032,0,"Azuner",17.094,-49.484,0,"coder_",9.334,-64.614,0,"YukihiroD",30.306,-91.68,0,"Amellaid",-4.226,-111.696,0,"소솨소솨",-47.754,-90.947,0,0,0,0,0,0,"",0,0,0,0,318.6,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,333.324,"SFIDA",L,10,70,100,0.677,-1.509,-0.167,1.821,0.299,1.454,-36.954,22.415,50,50,0,1,0,0,400,0,0.161,-18.397,0,0,8,R,"Pizzallaris",170,88,0.383,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,-37.998,0,"559：広告",0.104,-17.716,0,"甲斐野柊太",-19.024,-46.664,0,"柴山犬吉",-16.388,-62.746,0,"Azuner",16.219,-49.771,0,"coder_",8.851,-62.551,0,"YukihiroD",30.302,-91.687,0,"Amellaid",-4.169,-110.154,0,"소솨소솨",-46.568,-93.553,0,0,0,0,0,0,"",0,0,0,0,335.111,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,350.678,"SFIDA",L,6,53,86,-4.078,0.253,-0.505,1.849,-0.749,1.768,-36.954,38.152,100,0,0,1,0,-390.909,0,0,0,0,0,0,8,R,"Pizzallaris",170,88,0.383,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.851,0,"559：広告",-0.295,-17.841,0,"甲斐野柊太",-19.34,-48.181,0,"柴山犬吉",-16.342,-62.805,0,"Azuner",16.217,-49.762,0,"coder_",9.109,-63.203,0,"YukihiroD",30.294,-91.68,0,"Amellaid",-4.174,-110.233,0,"소솨소솨",-46.57,-93.542,0,0,0,0,0,0,"",0,0,0,0,352.567,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,367.817,"SFIDA",L,34,87,140,-0.599,2.245,-0.293,2.014,-0.141,2.776,-36.954,31.597,88,11,2,1,0,-78.633,-77.035,0,0,0,0,0,8,R,"Pizzallaris",170,88,0.383,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-37.924,0,"559：広告",0.226,-18.063,0,"甲斐野柊太",-21.74,-48.387,0,"柴山犬吉",-16.362,-62.791,0,"Azuner",16.366,-49.636,0,"coder_",9.532,-64.353,0,"YukihiroD",30.044,-91.793,0,"Amellaid",-4.088,-113.198,0,"소솨소솨",-46.553,-93.567,0,0,0,0,0,0,"",0,0,0,0,369.467,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,420.734,"SFIDA",L,0,90,140,-2.262,-0.253,-0.461,1.836,-0.922,1.408,-36.954,32.052,87,11,2,1,0,-34.991,-37.852,0,0,0,0,0,8,R,"Pizzallaris",170,88,0.383,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-37.819,0,"559：広告",0.002,-17.996,0,"甲斐野柊太",-19.934,-45.761,0,"柴山犬吉",-16.363,-62.777,0,"Azuner",16.216,-50.464,0,"coder_",9.075,-63.495,0,"YukihiroD",29.897,-91.867,0,"Amellaid",-3.953,-110.08,0,"소솨소솨",-45.328,-93.007,0,0,0,0,0,0,"",0,0,0,0,422.333,,,,0,0
6,1,1,0,0,3,2,0,0,0,0,255,255,255,5,440.201,"SFIDA",L,28,89,140,-2.259,1.474,-0.448,1.994,-0.859,2.337,-36.954,39.425,83,16,1,2,0,-78.962,-79.68,0,0,0,0,0,8,R,"Pizzallaris",170,88,0.383,3,73,W,Y,441.311,215,120,81,83,42,145,99,28.539,46.725,0.91,0,0.222,141.606,338.95,-50.423,-0.26,-37.748,0,"559：広告",-0.07,-17.906,0,"甲斐野柊太",-19.448,-46.194,0,"柴山犬吉",-16.413,-62.721,0,"Azuner",16.286,-50.21,0,"coder_",9.689,-63.651,0,"YukihiroD",29.705,-91.89,0,"Amellaid",-3.983,-110.26,0,"소솨소솨",-44.693,-92.31,0,446.078,-67.115,-72.188,0,0,"",0,0,0,0,,,,,0,3
7,1,1,0,0,3,2,0,0,0,0,255,255,255,6,465.359,"SFIDA",L,34,90,140,-0.547,-1.542,-0.294,1.536,-0.141,0.679,-36.954,12.136,94,6,0,1,0,-62.228,-49.896,0,-0.078,-16.581,0,0,8,R,"Pizzallaris",170,88,0.383,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,-37.819,0,"559：広告",-0.083,-18.013,0,"甲斐野柊太",-19.016,-45.244,0,"柴山犬吉",-16.152,-63.037,0,"Azuner",16.349,-50.177,0,"coder_",9.868,-65.039,0,"YukihiroD",27.898,-89.412,0,"Amellaid",-7.186,-107.795,0,"소솨소솨",-45.907,-90.372,0,0,0,0,0,0,"",0,0,0,0,466.911,,,,0,5
8,1,1,0,0,0,0,0,1,0,0,8,255,255,7,506.918,"SFIDA",L,32,91,140,-1.116,0.711,-0.325,1.88,-0.286,1.922,-36.954,14.404,93,5,2,0,0,-152.182,-69.45,0,0,0,1,1,3,L,"-Alta-",170.4,84,0.479,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.252,-37.757,0,"559：広告",-0.141,-17.964,0,"甲斐野柊太",-15.432,-42.268,0,"柴山犬吉",-5.863,-62.979,0,"Azuner",24.054,-49.699,0,"coder_",11.457,-61.556,0,"YukihiroD",45.662,-94.782,0,"Amellaid",12.989,-111.964,0,"소솨소솨",-37.305,-85.423,0,0,0,0,0,0,"",0,0,0,0,508.422,,,,0,0
9,1,1,0,0,0,1,0,1,0,0,8,255,255,8,542.571,"SFIDA",L,12,64,102,-1.585,-0.006,-0.478,2.036,-0.676,1.787,-36.954,49.232,96,4,0,4,0,0,112.448,0,0,0,1,1,3,L,"-Alta-",170.4,84,0.479,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,-37.885,0,"559：広告",-0.158,-18.105,0,"甲斐野柊太",-17.491,-42.111,0,"柴山犬吉",-4.348,-61.875,0,"Azuner",24.122,-49.724,0,"coder_",10.279,-62.912,0,"YukihiroD",41.087,-91.79,0,"Amellaid",11.883,-111.082,0,"소솨소솨",-38.151,-85.633,0,0,0,0,0,0,"",0,0,0,0,544.122,,,,0,0
10,1,1,0,0,0,2,0,1,0,0,8,255,255,9,565.195,"SFIDA",L,0,94,128,0.506,-0.104,-0.193,1.753,0.218,1.53,-36.954,21.771,58,42,0,2,0,5.02,0,0,0,0,1,1,3,L,"-Alta-",170.4,84,0.479,5,80,W,Y,566.072,236,116,123,103,0,145,84,0,73.457,0.98,0,0.564,156.171,-386.801,33.422,-0.076,-37.734,0,"559：広告",0.167,-18.128,0,"甲斐野柊太",-15.652,-42.431,0,"柴山犬吉",-7.861,-62.758,0,"Azuner",24.058,-49.688,0,"coder_",12.487,-62.298,0,"YukihiroD",41.095,-91.808,0,"Amellaid",11.788,-110.424,0,"소솨소솨",-38.278,-85.582,0,566.889,-13.242,-24.475,0,0,"",0,0,0,0,,,,,0,3
