id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,386.911,"Pring__",R,32,92,140,-1.119,-0.695,0.152,1.399,-0.689,1.029,-36.186,17.363,32,68,0,0,0,246.335,-200,36.849,0,0,0,0,8,R,"Yaksok~",173.3,80,0.332,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142,-37.598,0,"HalF_HearteD",0.007,-16.684,0,"ame_3",-19.546,-45.979,0,"_Gosomi",-15.324,-62.412,0,"horisen",18.273,-45.552,0,"alcohol500",9.851,-62.691,0,"AI",40.9,-90.65,0,"紅さかな",-0.301,-119.375,0,"Pizzallaris",-41.732,-100.682,0,0,0,0,0,0,"",0,0,0,0,387.558,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,403.101,"Pring__",R,0,58,99,2.75,0.55,0.682,1.641,1.177,1.943,-36.186,77.811,9,91,0,2,0,0,0,-11.868,0,0,0,0,8,R,"Yaksok~",173.3,80,0.332,3,86,W,Y,404.171,236,122,99,89,45,145,107,96.541,64.856,0.1,0,0.22,324.429,20.386,473.615,0.098,-37.257,0,"HalF_HearteD",-0.041,-16.902,0,"ame_3",-19.48,-45.931,0,"_Gosomi",-15.04,-62.624,0,"horisen",18.365,-45.363,0,"alcohol500",10.626,-61.814,0,"AI",40.9,-90.65,0,"紅さかな",-0.825,-115.151,0,"Pizzallaris",-41.736,-100.738,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,423.64,"Pring__",R,13,86,111,-0.763,-1.337,0.304,1.462,0.012,1.385,-36.186,32.917,52,48,0,1,0,-203.348,400,7.241,0,0,0,0,8,R,"Yaksok~",173.3,80,0.332,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.093,-37.604,0,"HalF_HearteD",0.006,-16.671,0,"ame_3",-19.897,-46.288,0,"_Gosomi",-14.56,-62.655,0,"horisen",18.809,-45.295,0,"alcohol500",11.966,-63.214,0,"AI",40.9,-90.65,0,"紅さかな",0.264,-116.525,0,"Pizzallaris",-41.911,-102.433,0,0,0,0,0,0,"",0,0,0,0,424.346,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,440.083,"Pring__",R,3,81,106,-1.313,-0.539,0.398,1.433,0.302,1.316,-36.186,38.082,13,87,0,2,0,-481.818,0,-2.559,0,0,1,0,8,R,"Yaksok~",173.3,80,0.332,3,86,W,Y,441.157,216,130,95,85,31,145,94,110.736,-68.564,0.94,0,0.16,297.805,-316.294,320.475,-0.161,-37.481,0,"HalF_HearteD",-0.437,-16.836,0,"ame_3",-19.8,-45.929,0,"_Gosomi",-14.925,-63.252,0,"horisen",18.645,-45.54,0,"alcohol500",11.842,-63.132,0,"AI",40.9,-90.65,0,"紅さかな",0.4,-116.593,0,"Pizzallaris",-42.696,-102.801,0,0,0,0,0,0,"",0,0,0,0,,,,,8,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,456.915,"Pring__",R,32,93,140,-1.358,0.066,0.105,1.325,-0.908,1.474,-36.186,21.042,0,100,0,0,0,250,-200,26.489,0,0,0,0,8,R,"Yaksok~",173.3,80,0.332,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067,-37.705,0,"HalF_HearteD",-0.031,-16.68,0,"ame_3",-19.577,-45.676,0,"_Gosomi",-15.614,-63.008,0,"horisen",18.773,-45.495,0,"alcohol500",11.147,-63,0,"AI",40.9,-90.65,0,"紅さかな",-0.857,-115.933,0,"Pizzallaris",-42.632,-102.319,0,0,0,0,0,0,"",0,0,0,0,457.546,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,481.572,"Pring__",R,32,97,140,-3.318,-0.739,-0.045,1.185,-1.606,1.006,-36.186,19.232,0,100,0,1,0,250,-200,49.026,0,0,0,1,6,R,"-KYU-",180.7,83,0.433,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103,-37.551,0,"HalF_HearteD",-0.019,-16.754,0,"ame_3",-20.009,-46.454,0,"_Gosomi",-15.604,-62.986,0,"horisen",18.308,-45.134,0,"alcohol500",8.962,-63.046,0,"AI",40.9,-90.65,0,"紅さかな",0.068,-118.1,0,"Pizzallaris",-44.77,-101.263,0,0,0,0,0,0,"",0,0,0,0,482.424,,,,0,0
7,1,1,0,0,1,0,1,0,0,0,255,255,255,6,497.137,"Pring__",R,32,91,140,-2.687,-0.259,-0.016,1.269,-1.47,1.292,-36.186,16.996,5,95,0,1,0,250,-200,39.969,0,0,0,1,6,R,"-KYU-",180.7,83,0.433,0,86,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077,-37.771,0,"HalF_HearteD",-0.197,-16.757,0,"ame_3",-19.905,-46.415,0,"_Gosomi",-15.625,-62.998,0,"horisen",18.589,-45.585,0,"alcohol500",9.224,-63.882,0,"AI",40.9,-90.65,0,"紅さかな",0.424,-119.222,0,"Pizzallaris",-44.767,-101.263,0,0,0,0,0,0,"",0,0,0,0,497.946,,,,0,0
8,1,1,0,0,2,0,1,0,0,0,255,255,255,7,512.873,"Pring__",R,13,81,106,-0.818,-0.458,0.306,1.432,0.328,1.783,-36.186,33.423,23,77,0,2,0,-376.237,312.348,11.157,0,0,1,1,6,R,"-KYU-",180.7,83,0.433,3,86,W,Y,514.038,255,150,122,95,99,145,115,-6.035,35.391,0.89,0,0.648,-96.734,283.782,2.927,0.044,-37.007,0,"HalF_HearteD",-0.264,-16.985,0,"ame_3",-19.888,-46.351,91,"_Gosomi",-15.572,-62.929,0,"horisen",18.64,-45.573,0,"alcohol500",9.423,-64.046,0,"AI",40.9,-90.65,0,"紅さかな",0.607,-119.264,0,"Pizzallaris",-44.766,-101.264,0,513.713,-4.643,-27.088,514.769,2,"ame_3",-16.109,-43.853,0,0,,,,,40,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,537.955,"Pring__",R,13,80,106,0.267,-0.374,0.398,1.441,0.614,1.795,-36.186,41.267,46,54,0,0,0,-329.785,364.525,3.128,0,0,1,2,0,L,"Kr_Luna",190,95.256,0.499,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085,-37.644,0,"HalF_HearteD",-0.103,-16.697,0,"ame_3",-19.722,-46.274,0,"_Gosomi",-10.984,-65.308,0,"horisen",18.318,-45.155,0,"alcohol500",11.737,-63.133,0,"AI",40.9,-90.65,0,"紅さかな",7.259,-122.979,0,"Pizzallaris",-43.944,-101.517,0,0,0,0,0,0,"",0,0,0,0,538.669,,,,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,556.424,"Pring__",R,3,78,104,0.051,-0.208,0.49,1.309,0.9,1.51,-36.186,44.194,0,100,0,2,0,-472.727,0,-0.361,0,0,1,2,0,L,"Kr_Luna",190,95.256,0.499,3,77,W,Y,557.388,160,38,68,35,24,136,130,-30,-13.321,0.41,0,0.047,-424.976,-174.703,314.921,-0.004,-37.323,0,"HalF_HearteD",-0.184,-16.844,0,"ame_3",-19.783,-46.242,0,"_Gosomi",-11.936,-64.651,0,"horisen",18.324,-45.154,0,"alcohol500",13.034,-62.758,98,"AI",40.9,-90.65,0,"紅さかな",7.054,-123.139,0,"Pizzallaris",-43.944,-101.51,0,556.813,0.235,-20.564,558.658,5,"alcohol500",9.833,-60.554,0,0,621.091,,,,508,2
