id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,0,0,1,0,1,2,0,1,0,255,19,255,0,277.314,"Roscosmos",L,13,91,115,-0.054,-0.064,-0.639,1.414,-0.227,1.995,-36.444,23.847,9,87,4,2,152.19,400,1.746,0,0,4,4,R,"_이누_",190,90.478,0.447,3,86,W,Y,1,278.529,222,108,118,0,0,137,82,35.331,49.113,0.011,0.917,-19.566,-1,0,0.152,349.527,484.741,-53.452,282.854,-55.786,-57.829,,,,,,0,0,,,,,,,,,,,,,277.897,,,,,,,,,,,,,,,,,,,,,,,,,-0.343,-38.094,0.002,-17.19,-21.758,-50.636,-10.482,-62.028,19.899,-49.744,9.792,-61.743,39.054,-95.55,-1.704,-115.161,-49.431,-90.406,-0.32,-36.94,,"kneesohime",0.013,-17.266,,"にゃんこ65K",-21.673,-50.503,,"Metalu",-10.684,-61.926,,"Parottey",20.238,-49.149,,"CoalCat",9.8,-61.689,,"あくせる",39.05,-95.544,,"「yune」",-1.713,-115.163,,"Gonyong",-49.427,-90.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",287.846,,,0,""
2,,1,0,0,1,0,2,2,0,1,0,255,19,255,1,300.325,"Roscosmos",L,35,85,138,-0.701,-0.059,-0.472,1.281,-0.113,1.778,-36.444,46.983,0,16,84,0,-131.124,200,1.092,0,0,4,4,R,"_이누_",190,90.478,0.447,,67,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,300.615,,303.025,4,,578,0,,,,,,,,,,,,,,,,,,,-0.332,-37.512,0.011,-17.156,-21.812,-51.679,-10.237,-61.315,20.231,-49.811,9.677,-62.578,40.137,-96.565,1.225,-114.784,-49.317,-92.904,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",302.979,,,0,""
3,SIDE,1,0,0,1,0,0,2,0,1,0,255,19,255,,306.709,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
4,,2,1,0,1,0,0,0,0,0,0,255,255,255,0,347.123,"Pugeuk",R,29,87,140,2.833,0.474,0.675,1.569,1.437,1.733,-36.595,35.966,58,42,0,2,-189.642,-140.153,7.44,0,0,6,5,R,"CoalCat",169.5,82.838,0.435,5,83,W,Y,1,348.214,170,145,150,119,47,145,82,63.38,86.906,0.542,1.105,-21.409,-1,0,0.453,419.417,-122.483,411.202,353.487,-41.142,-21.546,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,-37.435,0.087,-17.18,-20.98,-46.937,-16.467,-62.788,19.132,-49.758,14.279,-64.321,49.952,-101.405,-9.841,-115.916,-45.187,-90.933,0.477,-36.914,,"IbikiKai_JP",0.076,-17.374,,"레이나2",-20.684,-46.874,,"sano jpn",-17.612,-64.51,,"_이누_",19.031,-49.56,,"눈꽃",14.291,-64.339,,"Pring__",49.802,-101.467,,"Amellaid",-9.849,-115.916,,"Dοpi",-45.204,-90.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
5,,2,1,0,1,0,1,0,0,0,0,255,255,255,1,408.195,"Pugeuk",R,26,80,130,2.573,0.989,0.688,1.642,1.13,1.988,-36.595,26.855,89,11,0,2,-20.576,-158.77,19.181,0,0,6,5,R,"CoalCat",169.5,82.838,0.435,5,81,W,Y,1,409.279,177,117,134,118,78,145,82,32.292,30.512,0.485,1.244,-21.085,-1,0,0.388,529.149,-254.864,122.663,413.921,-31.231,-79.036,414.132,8,-30.248,2.316,-76.897,0,0,,414.507,,,,,,,,,,,,,414.302,6,,457,0,,,,,,,,,,,,,,,,,,,0.315,-37.456,0.168,-17.371,-21.314,-47.119,-15.509,-63.283,21.551,-49.836,15.774,-63.756,48.138,-99.927,-13.035,-121.201,-49.465,-93.227,0.568,-37.228,,"IbikiKai_JP",0.179,-17.475,,"레이나2",-21.042,-47.011,,"sano jpn",-17.034,-64.91,,"_이누_",19.702,-48.927,,"눈꽃",12.464,-65.479,,"Pring__",48.08,-99.845,,"Amellaid",-12.522,-121.029,,"Dοpi",-46.674,-88.786,114,,,,,,,,,,,,,,,,,,,,,,,,,414.323,-30.956,-77.26,,,,,,,,,,,,,,,,,,,,,,,,,416.091,-20.743,-71.954,"",1,0,"Dοpi",,,,128,""
6,,2,1,0,1,0,0,1,0,0,0,255,255,255,2,439.535,"Pugeuk",R,14,83,107,2.112,-1.785,0.569,1.306,0.382,1.078,-36.595,22.511,45,55,0,1,317.558,378.712,13.242,0,0,7,3,L,"Metalu",173.6,82.749,0.433,,81,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,-37.684,0.058,-17.011,-21.227,-47.247,-15.217,-63.465,24.31,-51.661,15.116,-63.94,51.771,-102.784,1.873,-123.388,-44.326,-92.42,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,2,1,0,1,1,0,1,0,0,0,255,255,255,3,454.865,"Pugeuk",R,29,81,132,-1.501,1.373,0.37,1.737,-0.35,2.317,-36.595,21.059,96,4,0,1,-215.842,-72.217,12.69,0,0,7,3,L,"Metalu",173.6,82.749,0.433,,81,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,-37.365,-0.075,-17.017,-21.253,-47.311,-15.461,-63.501,24.451,-51.234,14.829,-64.041,51.423,-102.817,4.222,-120.894,-44.028,-90.635,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,2,1,0,1,2,0,1,0,0,0,255,255,255,4,473.653,"Pugeuk",R,3,73,103,-0.346,0.616,0.647,1.883,0.626,1.968,-36.595,39.709,77,19,4,0,-383.78,0,28.176,0,0,7,3,L,"Metalu",173.6,82.749,0.433,,81,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199,-37.41,-0.056,-17.181,-21.24,-47.341,-15.617,-63.081,24.598,-51.27,15.012,-64.16,51.401,-102.802,4.406,-121.741,-45.368,-89.083,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
9,,2,1,0,1,2,1,1,0,0,0,255,255,255,5,491.58,"Pugeuk",R,29,92,140,-1.955,0.141,0.364,1.527,-0.38,1.571,-36.595,15.244,47,53,0,2,-219.971,-62.709,12.111,0,0,7,3,L,"Metalu",173.6,82.749,0.433,3,81,W,Y,1,492.581,156,8,98,63,11,145,97,-9.936,-28.552,-0.075,0.857,-20.356,-0.19,0,0.18,97.513,-538.632,245.696,492.598,2.227,-24.515,494.587,5,18.659,0.059,-58.331,0,0,,497.557,,,,,,,,,,,,,497.797,7,,147,2,,,,,,,,,,,,,,,,,,,0.079,-37.417,-0.057,-17.027,-21.257,-47.416,-14.529,-63.731,24.781,-51.515,14.979,-64.102,51.435,-102.846,4.22,-121.815,-43.568,-96.199,0.078,-36.863,,"IbikiKai_JP",-0.072,-17.068,,"레이나2",-20.977,-47.346,85,"sano jpn",-13.888,-67.302,,"_이누_",24.808,-51.078,,"눈꽃",14.978,-64.096,117,"Pring__",51.446,-102.864,,"Amellaid",4.219,-121.808,,"Dοpi",-43.604,-95.982,,500.742,-0.388,-38.418,,,,497.184,-17.821,-40.036,,,,,,,494.999,18.948,-59.226,,,,,,,,,,,,,,,,499.757,-17.525,-39.754,,,,,,,495.645,14.963,-57.418,,,,,,,,,,"",2,0,"눈꽃",,,,34,""
10,,2,1,0,1,0,0,2,0,0,0,255,255,255,6,517.331,"Pugeuk",R,29,90,140,-0.155,-0.557,0.482,1.622,0.171,1.204,-36.595,22.039,56,44,0,0,-214.749,-77.711,12.297,0,0,8,7,R,"「yune」",174.8,85,0.32,,31,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,-37.438,-0.083,-17.172,-21.276,-46.874,-15.783,-63.108,21.706,-50.812,15.615,-63.388,49.385,-102.565,-6.412,-120.201,-46.383,-87.739,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,521.565,-0.052,-37.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
